,Job title,Company name,Job description,Job location,Salary,Job type,Category,Salary type,Average annual salary,Average hourly salary
38,Qualitative Data Analyst,NYU Langone,"Administer and analyze survey data.The Research Analyst will assist in the development and maintenance of analytic datasets, incorporating data from multiple…","New York, NY",58500 - 66805 a year,Full-time,data analyst,year,62652.5,
39,DATA ANALYST,Queens District Attorney's Office,"Analyze data to assess accessibility, accuracy and identify opportunities for new data sources or variables.The Data Analyst will collaborate with executives,…","Kew Gardens, NY",65000 - 91000 a year,,data analyst,year,78000.0,
40,Real Estate Strategy & Data Insights Analyst,Shake Shack,Ability to turn raw data into actionable insights for C-Level executives.This role is a unique opportunity to work with a dynamic team of analytical…,"New York, NY 10014 (West Village area)",82410 - 105110 a year,Full-time,analyst,year,93760.0,
41,Business Analyst -- Data Analytics,TD Witz Associates,§ Azure platform experience on the data side will be a plus.§ Projects will include building and integrating data analytics / reporting solutions supporting…,"New York, NY 10019 (Midtown area)",150000 - 250000 a year,Full-time,business analyst,year,200000.0,
42,"Data Analyst, Merchant Health",Riskified,2+ years of relevant strong analytical experience with complex data.Master the online fraud prevention domain through hands-on analysis of live data.,"New York, NY 10001 (NoMad area)",105000 - 115000 a year,,data analyst,year,110000.0,
43,EAM Data Analyst,Lumenor Consulting Group,AM/enterprise data management software: 3 years (Preferred).EAM or other enterprise level data management: 3 years (Preferred).,"Hybrid remote in New York, NY 10004",80000 - 102698 a year,Full-time,data analyst,year,91349.0,
44,"Data Analyst, Schooling Data and Analytics",Success Academy,Produce Schooling department dashboards and data visualizations.Experience working with BI and data visualization platforms.,"Hybrid remote in New York, NY 10005",65000 a year,Full-time,data analyst,year,65000.0,
45,Data Analyst,VEVO,Establish QA protocols to ensure accuracy and data granularity for analyses.Experience with Looker or other data visualization/dashboarding tools is a plus.,"New York, NY",60000 - 70000 a year,Full-time,data analyst,year,65000.0,
46,Marketing Data Analyst,Veeva Systems,"Develop insights using advanced data analysis techniques, predictive modeling, and data visualization.Use data to make patient behavior discoveries.","Hybrid remote in New York, NY",65000 - 75000 a year,,data analyst,year,70000.0,
47,"Data Analyst, Clinical Operations",VNS Health,Coordinates and performs data quality exploration and validation on new data sources.Experience with large data sets and/or the analysis of member/patient…,"Manhattan, NY",77200 - 96500 a year,Full-time,data analyst,year,86850.0,
48,Data Analyst,Clairvoyant Inc.,Partner with data architects to build data models for efficient consumption of data.Manipulate large data sets using SQL to understand patterns in the data.,"New York, NY 10154 (Midtown area)",70000 - 90000 a year,Full-time,data analyst,year,80000.0,
49,Data Analyst,CCI Inc.,Validate and clean data to remediate erroneous values.Gather and collate raw data from various pertinent sources.Advanced knowledge of Microsoft Excel.,"New York, NY 10036 (Midtown area)",34.82 an hour,Full-time,data analyst,hour,,34.82
50,"Data Analyst, Alcohol, Mental Health",NYC Careers,"Process, clean, and prepare data for analysis and reporting; data check; document data management procedures (e.g., data dictionaries, business rules); monitor…","Queens, NY 11101",82506 - 94882 a year,Full-time,data analyst,year,88694.0,
51,"Business Analyst, Claims",VNS Health,Maintains analysts’ library of resources.Articulates business issues and designs data collection methodologies.Identifies and creates global claim projects.,"Manhattan, NY",63800 - 79800 a year,Full-time,business analyst,year,71800.0,
52,Data Defense Operations Analyst,TikTok,Manage data inventories and data flow mappings by collecting and aggregating datasets from multiple data source systems.3-5 years applicable experience.,"Hybrid remote in New York, NY",80000 - 100000 a year,,operations analyst,year,90000.0,
53,Associate - Data Analyst,PJT Partners,"3 to 5 years experience of data analysis tools such as Python, Tableau, Azure Data Products/Services and SQL.Perform testing and data quality check.","New York, NY 10017 (Midtown area)",100000 - 120000 a year,,data analyst,year,110000.0,
54,HXGN EAM DATA ANALYST -Hybrid,Aries Solutions,Review legacy system data and provide mapping to EAM data model.A minimum of 3-4 years HxGN EAM (or other EAM/enterprise data management software) experience.,"Hybrid remote in New York, NY 11691",55 - 60 an hour,Full-time,data analyst,hour,,57.5
55,Data Analyst,Valera Health,"Experience working with EHR, claims, marketing data from both tabular and JSON data structures.Identify key insights to further leverage claims and other…","Brooklyn, NY",Estimated 75500 - 95600 a year,,data analyst,year,85550.0,
56,Analyst - Data and Systems,NYC Careers,Support in developing techniques and protocols for quality data collection to ensure the adequacy and accuracy of data.,"Manhattan, NY 10007 (Financial District area)",51550 - 73806 a year,Full-time,analyst,year,62678.0,
57,Program Data Analyst,NYC Careers,"Prepare data for analysis, identify reporting errors, and coordinate with data engineers to review code in programming languages such as R or Python.","New York, NY 10004 (Financial District area)",62470 - 80008 a year,Full-time,data analyst,year,71239.0,
58,Business Data Analyst,Clear Street,Understanding of data modeling and data warehousing principles.Query the Snowflake data warehouse using SQL.Experience using BI tools to query data and create…,"Hybrid remote in New York, NY",70000 - 110000 a year,,business analyst,year,90000.0,
59,Analyst - Private Debt Investments,StepStone Group,Use creativity to analyze data and to test hypotheses regarding attractiveness of specific sectors and investment opportunities.,"New York, NY",85000 - 115000 a year,,analyst,year,100000.0,
60,Biostatistician/Data Analyst,Boston Childrens Health Physicians LLP,"Create reports based on data analyses for quality of data and outcomes, assessing perinatal public health, & responding to research questions utilizing SPDS…","Valhalla, NY 10595",70000 - 75000 a year,Full-time,data analyst,year,72500.0,
61,"Data Analyst, TEOC",Child Mind Institute,"Proficiency in data organization, data cleaning, data mining, data preprocessing, data visualization, statistical analysis, and machine learning.","New York, NY 10022 (Midtown area)",52000 - 64000 a year,Full-time,data analyst,year,58000.0,
62,Senior Data Analyst - Digital Design Center (DDC),Dandy,Mentor other analysts and help them grow.Utilize your data super powers to reduce ambiguity and solve problems.Strong senses of autonomy and ownership.,"New York, NY 10019 (Hell's Kitchen area)",150000 - 175000 a year,Full-time,data analyst,year,162500.0,
63,"Data Analytics Lead Analyst, VP",Citi,Contributes to data analytics standards around which others will operate.6-10 years experience usisng codes for statistical modeling of large data sets.,"New York, NY",137610 - 206420 a year,Full-time,analyst,year,172015.0,
64,Business Analyst,Computing Concepts Inc,"Knowledge of trades data, positions data, reference data.Analyze data sets to determine data gaps and work with cross functional teams to bridge the gap.","New York, NY",65 an hour,Contract,business analyst,hour,,65.0
65,FinTech Analyst II,StubHub,4+ years of experience in data analyst or similar positions.Reconcile transaction level data between various databases (e.g. Subledger to General Ledger) using…,"Hybrid remote in New York, NY",100000 - 120000 a year,Full-time,analyst,year,110000.0,
66,Data Analyst,AppLab Systems,Acquire data from primary or secondary data sources and conduct detailed analysis to determine misaligned or erroneous data and determining the correct…,"Princeton, NJ",132000 - 135000 a year,,data analyst,year,133500.0,
67,Paulson Policy Analyst Program,Manhattan Institute for Policy Research,"Ability to work with and analyze data.Policy Analysts will also provide support to MI fellows on research and writing projects, pursue media opportunities with…","Hybrid remote in New York, NY 10017",70000 - 90000 a year,,analyst,year,80000.0,
68,Revenue Cycle Analyst-Patient Access,NYU Langone,Prepare and analyze operational and revenue cycle reports to summarize performance using data from multiple sources; evaluate data and reports to identify…,"New York, NY",63935.04 - 82951.06 a year,Full-time,analyst,year,36724.0,
69,Senior Data Analyst,Cityblock Health,"Possession of strong analytical/statistical skills used in evaluating and analyzing data.You are a strong SQL programmer, with experience navigating and…","Remote in New York, NY",117000 - 134200 a year,,data analyst,year,125600.0,
70,Data Analyst,EXL Services,Must have 1 year of work experience with the following: (1) Healthcare Medical Claims or Pharmacy Claims; (2) Microsoft SQL Server (ver 2008 or later); (3) SQL…,"New York, NY",104125 a year,Full-time,data analyst,year,104125.0,
71,Business Intelligence Analyst II,Rent the Runway,"Passion for data and its fundamental ability to create value.Paid Sabbatical after 5 years of continuous service - Unplug, recharge, and have some fun!","New York, NY 10014 (SoHo area)",90400 - 113000 a year,,business intelligence analyst,year,101700.0,
72,Financial Analyst,Audigent,"Experience: 3-5 years of experience in data analysis, reporting, or a similar role, preferably at a media agency.For more information, visit www.audigent.com.","New York, NY",75000 - 85000 a year,,financial analyst,year,80000.0,
73,Senior Portfolio Analyst,Community Preservation Corporation,Superior analytical skills and the ability to manipulate large data sets.Collaborate with other departments and stakeholders to continually enhance data…,"Hybrid remote in New York, NY 10016",85000 - 105000 a year,,analyst,year,95000.0,
74,Business Analyst (Telecom and Technology Expense Management and Support) @ Remote,CEDENT,"Researching services (voice, network, and data center) provided by global suppliers.Exposure to, or working knowledge of expenses related to network, voice,…","Remote in New York, NY",40 an hour,Contract,business analyst,hour,,40.0
75,Analyst -DOHMH,NYC Careers,Analyze data and other indicators to assess individual programs within the agencies.OMB's staff of analysts and experts assembles and oversees the Mayor’s…,"Manhattan, NY 10007 (Financial District area)",51550 - 73806 a year,Full-time,analyst,year,62678.0,
76,Digital Analyst,accelerate360,Ability to work with multiple disparate data sources and data types.Proficiency in quantitative data analysis.Job Responsibilities include but not limited to:,"Hybrid remote in New York, NY 10005",85000 - 95000 a year,,digital analyst,year,90000.0,
77,"2024 University Recruiting - Global Workplace & Enterprise Services Environmental, Health & Safety Data Analyst Co-op",Merck Sharp & Dohme,Apply data validation techniques to identify data quality issues and recommend solutions.Develop data models and conduct data mining to discover opportunities…,"Rahway, NJ 07065",39600 - 105500 a year,Full-time,data analyst,year,72550.0,
78,Data Management Reporting and Analytics Specialist,"Natural Resources Defense Council, Inc.",Perform data integrity reporting to identify and resolve root cause data quality and process issues.Develop and maintain oversight of data architecture…,"New York, NY 10011 (Flatiron area)",100000 - 111000 a year,,analyst,year,105500.0,
79,Data Governance Business Systems Analyst,Public Health Solutions,Liaise with data governance/data stewards and BES IT project management.BES seeks to support the department’s provisions of accurate and timely public health…,"Long Island City, NY 11101",120000 a year,Full-time,systems analyst,year,120000.0,
80,Financial Strategy and Planning Analyst,DocGo,"Conduct data analysis in Tableau (BI Tool), on operational performance.The above-noted job description is not intended to describe, in detail, the multitude of…","New York, NY 10001 (Garment District area)",70000 - 75000 a year,Full-time,analyst,year,72500.0,
81,Junior Business Analyst,First Notch Technology LLC,Proficiency in using analytics tools and techniques to interpret data and generate insights.Analyze data and provide insights to support decision-making and…,"Hybrid remote in Carteret, NJ 07008",55000 - 60000 a year,Contract,business analyst,year,57500.0,
82,Business Analyst,Plaxonic Technologies,Agile methodologies: 5 years (Required).Public Sector/Federal: 3 years (Required).The business analyst should be able to handle a demanding work environment…,"New York, NY",45 - 50 an hour,Contract,business analyst,hour,,47.5
83,Next Generation NG911 Telephony Business Analyst,NMG Technology Services,MUST HAVE H1B VISA OR BE US CITIZEN.NG911 (Next Generation 9-1-1 Project) Telephony SME..Manage and oversee the execution and delivery of all aspects of the…,"Brooklyn, NY 11201",40 - 50 an hour,Contract,business analyst,hour,,45.0
84,SENIOR BUSINESS ANALYST (CLT/REMOTE),E15 Group,"Present data products and new features to stakeholders, and receive feedback on changes.Documenting data which is currently produced by clients, including…","Remote in Melville, NY 11747",110000 - 120000 a year,Full-time,business analyst,year,115000.0,
85,Data Driven Marketing Analyst - Creative,DELUXE CORPORATION,"Deluxe Corporation is a $2B trusted, tech-enabled solutions provider serving nearly 5 million small businesses and over 4,600 financial institutions.","New York, NY 10011 (Flatiron area)",89000 a year,Full-time,marketing analyst,year,89000.0,
86,10101 - Quantitative Data Analyst,The Fund for Public Health in New York City,"Work with internal and external partners to identify and resolve data discrepancies and issues with data reporting systems.Salary range is $60,000 to $75,000.","New York, NY",60000 - 75000 a year,Full-time,data analyst,year,67500.0,
87,"Data Analyst, Grants Management & Administration, Public Health Programs",Vital Strategies,"Bachelor’s degree in data science or data Analytics preferred.Experience with data management, data visualization, and statistical systems.","Hybrid remote in New York, NY 10005",105000 a year,Full-time,data analyst,year,105000.0,
88,Data Analyst,Rutgers University,He/she will also develop and curate a data corps of publicly available data under the direction of program leadership.Plus 3 years of relevant experience.,"Hybrid remote in New Brunswick, NJ 08901",,Full-time,data analyst,,,
89,Financial Analyst,Noble Capital Management,"Excellent business analysis skills to identify trends and patterns in financial data.Collect and analyze data to identify trends, patterns, and opportunities…","New York, NY 10005 (Financial District area)",79950 - 86978 a year,Full-time,financial analyst,year,83464.0,
90,"Business Analyst, Amazon",Amazon Advertising LLC,Identify root causes of data issues and develop solutions.The selected candidate will have a passion for making data driven decisions.,"New York, NY",From 59500 a year,Full-time,business analyst,year,59500.0,
91,Business Analyst (Temp),Tower Legal Solutions,The ideal candidate would be proficient using Excel reviewing and analyzing financial information and extracting data.Flexibility for additional hours/OT.,"Hybrid remote in New York, NY",23 - 25 an hour,Temporary,business analyst,hour,,24.0
92,Data Management and Programming Analyst,Research Foundation of The City University of New...,"Experience working with data in research or similar setting.Perform a variety of duties related to ensuring data integrity including documentation, audits, and…","New York, NY",50000 - 65000 a year,Full-time,analyst,year,57500.0,
93,Business Analyst,Coral Graphics,Utilizes systems and data to resolve business issues in the most effective and productive manner.This position will report to and work directly with our…,"Hybrid remote in Hicksville, NY 11801",50000 - 60000 a year,Full-time,business analyst,year,55000.0,
94,Senior BI Analyst,coty,"Analytical data skills - including data lineage, data mapping, process mapping.Good understanding of data operations principles, data warehousing, ETL…","New York, NY 10118 (Garment District area)",140000 - 155000 a year,,business intelligence analyst,year,147500.0,
95,Marketing Science Analyst (Hiring for Jan/Feb/Mar 2024),Analytic Partners,"Experience working independently on analytical tasks, building, and optimizing ‘big data’ data pipelines, architectures, and data sets.What you’ll be doing:","Hybrid remote in New York, NY",68000 - 91000 a year,,analyst,year,79500.0,
96,"Data Analyst (ETL, SQL, Data Visualization and Python or Alteryx)",Plaxonic Technologies,"Minimum of three (3) years of 3 years of data analyst or similar experience.Experience in extracting, transforming, loading and analyzing large data sets using…","New York, NY 10001 (Garment District area)",70 - 74 an hour,Full-time,data analyst,hour,,72.0
97,CGWI Markets Business Analyst - Americas,Citi,"Other ad hoc administration tasks that support the activities of the business (e.g. PowerPoint presentations, excel data analysis, financial reporting).","New York, NY",,,business analyst,,,
98,Business Analyst,Helix Tech IT Solutions,"Develop and implement data models, databases, data collection systems, and other strategies that optimize efficiency and quality.Recruiters please don't apply.","Hybrid remote in New York, NY 10001",,,business analyst,,,
99,Sr. Operations Data Analyst (SAS Required) - Remote,EmblemHealth,"Maintain documentation library to promote efficient knowledge transfer of data collection strategies and data quality protocols.Hiring Range: $63,000-$110,000.","Remote in New York, NY",63000 - 110000 a year,,data analyst,year,86500.0,
100,Data Analyst,Stony Brook Administrative Services,"Minimum of 5 years professional experience in a technical/data analyst role in a data driven environment.3+ years’ experience in data mining, large scale data…","Commack, NY",,,data analyst,,,
101,Associate Staff Analyst,NYC Careers,"Analyzes data and prepares clear, concise, well-documented reports in accordance with established format.Agency: OFFICE OF LABOR RELATIONS.","Manhattan, NY 10007 (Financial District area)",70611 - 105138 a year,Full-time,analyst,year,87874.5,
102,Data Analyst Youth Mental Health,"Research Foundation for Mental Hygiene, Inc.",Experience cleaning raw data and an excellent attention to detail.Lead data management efforts through data quality review and thorough documentation of data…,"Long Island City, NY 11101",,,data analyst,,,
103,Business Analyst-Documentation Specialist,F2Onsite,"The end client is looking for a resource to review and document job functions, duties and procedures of a 3 person Application support team.","New York, NY",,,business analyst,,,
104,"Graphic Designer, Data Visualization",Insider Intelligence,"Proficiency in data visualization tools such as Datawrapper, Flourish or Tableau.Experience at a consultancy or digital publisher, designing and building data…","Remote in New York, NY",,,,,,
105,Business Analyst Reporting & Strategic Analysis,Paramount,"Monitor and govern the data, ensuring data quality and accuracy.You will be part of a team charged with enabling data-driven decision making via reporting…","New York, NY 10036",85000 - 100000 a year,Full-time,business analyst,year,92500.0,
106,Strategic Business Analyst,Sol de Janeiro,Must be able to work a hybrid schedule (remote & 1-3 days / week in our New York City office).Balances attention to detail with understanding of the big…,"Hybrid remote in New York, NY",,,business analyst,,,
107,Quality Data Analyst,RxSense,"Must be comfortable interpreting data models to build data joins & associations, data wrangling and data manipulation techniques.","Hybrid remote in Princeton, NJ",,,data analyst,,,
108,Financial Analyst,Noble Capital Management,"Excellent business analysis skills to identify trends and patterns in financial data.Collect and analyze data to identify trends, patterns, and opportunities…","New York, NY 10005 (Financial District area)",,,financial analyst,,,
109,BUSINESS ANALYST,STAND 8,"Accumulated 3-5 years of experience in roles such as process engineering, business consulting, or leadership within a business context.","Remote in Fairfield, NJ",75000 - 85000 a year,Full-time,business analyst,year,80000.0,
110,Bioinformatics Analyst - DLD,Columbia University,Lead data analysis efforts within collaborative research initiatives.The successful candidate will work collaboratively with clinicians and computational…,"New York, NY",58500 - 65000 a year,Full-time,analyst,year,61750.0,
111,Data Analyst,Rutgers University,He/she will also develop and curate a data corps of publicly available data under the direction of program leadership.Implement these analyses once agreed up.,"Hybrid remote in New Brunswick, NJ 08901",,Full-time,data analyst,,,
112,Business Intelligence Analyst II,Rent the Runway,"Paid Sabbatical after 5 years of continuous service - Unplug, recharge, and have some fun!Experience working with events data and product analytics tools such…","New York, NY 10014 (SoHo area)",90400 - 113000 a year,,business intelligence analyst,year,101700.0,
113,IQVIA Data Analyst,Taro Pharmaceutical USA Inc,Ability to analyze and interpret IQVIA data.Work with cross functional departments to collect data and monitor market opportunities.,"Hawthorne, NY",95500 - 119000 a year,,data analyst,year,107250.0,
114,Data Analyst,"Share 4 Life Foundation, Inc.",Minimum 2 years of experience in data analysis or a related field.The Data Analyst will be responsible for researching supportive services and resources for…,"Remote in New York, NY",15 an hour,Part-time,data analyst,hour,,15.0
115,Data Science Analyst II (Dr Elahi's Lab) - Neurology,Mount Sinai,"5 years minimum in healthcare data.Implement best practices in data management to ensure the integrity of the data, the quality of data processes and deliver…","New York, NY 10029 (Yorkville area)",87692 - 131538 a year,,data science analyst,year,109615.0,
116,Senior Quality Data Analyst,NYC Health + Hospitals,Performs statistical analyses to identify data anomalies.Facilitates data exchanges between HEDIS vendor & MetroPlusHealth.Ensure accuracy of all reports.,"New York, NY",,Full-time,data analyst,,,
117,Business Analyst,Construction & Realty Services Group,"The employer provides administrative services to these B2B Companies such as Payroll, Billing, Accounts Payable, Analysis, Marketing, and IT.","New York, NY 10001 (Chelsea area)",60000 - 70000 a year,Full-time,business analyst,year,65000.0,
118,Training & placement in Python Developer & Data Analyst,precision technologies corp,Analyze and resolve data discrepencies before and after data uploads.Excellent attention to detail is important and ability to do extensive data analysis.,"Monmouth Junction, NJ 08852",From 36 an hour,Contract,data analyst,hour,,36.0
119,Data Analyst,Audigent,"Experience: 3-5 years of experience in data analysis, reporting, or a similar role, preferably at a media agency.","New York, NY",75000 - 85000 a year,,data analyst,year,80000.0,
120,Senior Music Royalty Analyst,Gelfand Rennert & Feldman,Analyze data to find underpayments of royalties and create claim schedules.Assist managers in drafting examination reports and training of analysts with…,"Hybrid remote in Manhattan, NY 10010",67038 - 78042 a year,Full-time,analyst,year,72540.0,
121,Business Analyst I - Underwriting,Horizon Blue Cross Blue Shield of New Jersey,May recommend solutions based on data analysis to increase business efficiency.Review and follow-up on data reporting for internal and external sources;…,"Newark, NJ 07105 (Ironbound area)",53500 - 71610 a year,Full-time,business analyst,year,62555.0,
122,Senior Data Analyst,Combined Insurance,"Analyze and test relational databases and investigate any data load failures or data retrieval issues.By joining Chubb as a Senior Data Analyst, you will…","Whitehouse Station, NJ",Estimated 67900 - 85900 a year,Full-time,data analyst,year,76900.0,
