,Job title,Company name,Job description,Job location,Salary,Job type
17,"Data Analyst II, Learning Analytics and Assessment - Graduate School of Biomedical Studies",Mount Sinai,"Proficiency in data analysis tools such as Excel, R, and Python.Familiarity with data visualization tools like Tableau or similar platforms to create…","New York, NY 10029 (Yorkville area)","$70,000 - $105,124 a year",NaN
18,Freight Analyst,NYC Careers,"Key responsibilities include : 1) Conduct economic and planning research studies to inform policy, program, and project development; 2) Analyze and interpret…","Manhattan, NY 10004 (Financial District area)","$70,087 - $84,805 a year",Full-time
19,"Analyst, North American Operations (Inventory)",Peloton,"Advanced in Excel, comfortable with large data sets.Capture and analyze data variances across the internal and external network - develop and lead root cause…","New York, NY 10011 (Chelsea area)","$81,800 - $106,400 a year",NaN
20,Strategy Analyst,Spectrum,"Strong foundation in reporting, data mining, and predictive modeling.Analyze models for data-driven strategy recommendations and communicating results in a…","Stamford, CT 06902 (Downtown area)",Full-time,NaN
21,Geospatial Analyst,ReServe,2+years of data analyst experience.Your eye for detail and analytics skills come in handy as you create algorithms for processing spatial data to report and…,"New York, NY 10035 (East Harlem area)","$58,500 a year",Full-time
22,Financial Analyst,Ipsos,"Data savvy with a strong attention to detail and accuracy.Assist Project Managers in the maintenance of project attributes, including conducting monthly…","New York, NY","$63,000 - $72,000 a year",NaN
23,"Researcher/Data Analyst, Bureau of Mental Health",NYC Careers,"The successful candidate will have 3-5 years full time experience processing, cleaning, manipulating, and analyzing large program or administrative datasets…","Queens, NY 11101","$82,506 - $94,882 a year",Full-time
24,Associate - Data Analysis and Special Projects,New York Life Insurance Co,Convert participant-level census data into a consistent format for use in pricing models.The Pension Risk Transfer (PRT) Installation Team is looking for an…,"Hybrid remote in Jersey City, NJ","$58,500 - $77,500 a year",NaN
25,Senior Business Analyst,FD Technologies,Investigating overnight batch failures caused by missing market data.Performing quality control and quality assurance for junior analysts to advise on the…,"New York, NY","$125,000 a year",Full-time
26,Jr SQL Dev/Dev Ops/BA/Data Engineering,VForce InfoTech,H1B TRANSFER AND GC FILING WITH THE BEST BILLING RATES*.We can Match Your Expectation if you are already experienced on Above explained area.,"Hybrid remote in Edison, NJ 08837","$60,000 - $100,000 a year",Full-time
27,"CIR Data Governance and QA Analyst, Bureau of Immunization",NYC Careers,Manage requests for ongoing and ad-hoc data submissions and data access including subpoenas.Ensure data integrity by performing gap analyses to inform data…,"Queens, NY 11101","$92,301 - $114,687 a year",Full-time
28,Data Analyst,Children's Aid,"Manage the exchange of data pursuant to data sharing agreements, observing all confidentiality and use requirements.","Manhattan, NY 10027 (Hamilton Heights area)","$65,000 - $80,000 a year",NaN
29,Data Analyst,Public Health Solutions,"Support teams with data management, data cleaning, data analysis, and data visualization in order to carry out day-to-day monitoring and evaluation.","New York, NY 10013 (Tribeca area)","$70,000 a year",Full-time
30,"Analyst, Data Operations",PMX,"Alteryx data cleansing/pipelining is a plus.Have applied data science, modelling, analytics and reporting experience implementing and supporting data platforms…","New York, NY 10014 (SoHo area)","$58,500 - $88,000 a year",Full-time
31,Entry Level Data Analyst,"Swivel Payment Solutions, LLC",Monitor data quality and perform data cleansing as needed.Experience with data visualization tools such as Tableau or Power BI.,"New York, NY","$62,063 - $65,095 a year",Full-time
32,"Business Data and Reporting Analyst, Level 1",The City University of New York (CUNY),Ability to review data and make decisions on likelihood of enrollment.Prepares and cleans data for messaging created from the CollegeApp system.,"Hybrid remote in Staten Island, NY",$21.30 an hour,Part-time
33,Research Analyst,NYU Langone,"We will support the data analyst in pursuing first author publications.All aspects of data analysis to answer research questions, including data wrangling and…","New York, NY","$63,935 - $72,800 a year",Full-time
34,Data Science - Senior Digital Research & Analytics Analyst - Remote,Northwell Health,"3-5 years of relevant experience, required.Utilizes both qualitative and quantitative data to ensure optimal site health and move the needle on satisfaction…","Remote in Melville, NY 11747","$75,020 - $126,250 a year",Full-time
35,Business Analyst,DONIA LLC,Summary: *We are seeking a Business Analyst to help keep the data-based projects on track.Resources will be able to work in tandem with the existing team to…,"Long Island City, NY 11101",$45 - $60 an hour,Full-time+2
36,Data Analyst,"Information Resources, Inc","Responsible for designing data profiling\trending and similar checks for data quality and consistency.In this role, you will be responsible for deriving…","New York, NY 10001 (Chelsea area)","$100,000 - $120,000 a year",Full-time
37,"Senior Data Analyst, Amazon",Harry's,"Within the broader Data org, you'll work most closely with the other data analysts and analytics engineers on the team.One month sabbatical after 5 years.","New York, NY 10004 (Financial District area)","$111,200 - $139,000 a year",NaN
38,Qualitative Data Analyst,NYU Langone,"Administer and analyze survey data.The Research Analyst will assist in the development and maintenance of analytic datasets, incorporating data from multiple…","New York, NY","$58,500 - $66,805 a year",Full-time
39,DATA ANALYST,Queens District Attorney's Office,"Analyze data to assess accessibility, accuracy and identify opportunities for new data sources or variables.The Data Analyst will collaborate with executives,…","Kew Gardens, NY","$65,000 - $91,000 a year",NaN
40,Real Estate Strategy & Data Insights Analyst,Shake Shack,Ability to turn raw data into actionable insights for C-Level executives.This role is a unique opportunity to work with a dynamic team of analytical…,"New York, NY 10014 (West Village area)","$82,410 - $105,110 a year",Full-time
41,Business Analyst -- Data Analytics,TD Witz Associates,§ Azure platform experience on the data side will be a plus.§ Projects will include building and integrating data analytics / reporting solutions supporting…,"New York, NY 10019 (Midtown area)","$150,000 - $250,000 a year",Full-time
42,"Data Analyst, Merchant Health",Riskified,2+ years of relevant strong analytical experience with complex data.Master the online fraud prevention domain through hands-on analysis of live data.,"New York, NY 10001 (NoMad area)","$105,000 - $115,000 a year",NaN
43,EAM Data Analyst,Lumenor Consulting Group,AM/enterprise data management software: 3 years (Preferred).EAM or other enterprise level data management: 3 years (Preferred).,"Hybrid remote in New York, NY 10004","$80,000 - $102,698 a year",Full-time
44,"Data Analyst, Schooling Data and Analytics",Success Academy,Produce Schooling department dashboards and data visualizations.Experience working with BI and data visualization platforms.,"Hybrid remote in New York, NY 10005","$65,000 a year",Full-time
45,Data Analyst,VEVO,Establish QA protocols to ensure accuracy and data granularity for analyses.Experience with Looker or other data visualization/dashboarding tools is a plus.,"New York, NY","$60,000 - $70,000 a year",Full-time
46,Marketing Data Analyst,Veeva Systems,"Develop insights using advanced data analysis techniques, predictive modeling, and data visualization.Use data to make patient behavior discoveries.","Hybrid remote in New York, NY","$65,000 - $75,000 a year",NaN
47,"Data Analyst, Clinical Operations",VNS Health,Coordinates and performs data quality exploration and validation on new data sources.Experience with large data sets and/or the analysis of member/patient…,"Manhattan, NY","$77,200 - $96,500 a year",Full-time
48,Data Analyst,Clairvoyant Inc.,Partner with data architects to build data models for efficient consumption of data.Manipulate large data sets using SQL to understand patterns in the data.,"New York, NY 10154 (Midtown area)","$70,000 - $90,000 a year",Full-time
49,Data Analyst,CCI Inc.,Validate and clean data to remediate erroneous values.Gather and collate raw data from various pertinent sources.Advanced knowledge of Microsoft Excel.,"New York, NY 10036 (Midtown area)",$34.82 an hour,Full-time+1
50,"Data Analyst, Alcohol, Mental Health",NYC Careers,"Process, clean, and prepare data for analysis and reporting; data check; document data management procedures (e.g., data dictionaries, business rules); monitor…","Queens, NY 11101","$82,506 - $94,882 a year",Full-time
51,"Business Analyst, Claims",VNS Health,Maintains analysts’ library of resources.Articulates business issues and designs data collection methodologies.Identifies and creates global claim projects.,"Manhattan, NY","$63,800 - $79,800 a year",Full-time
52,Data Defense Operations Analyst,TikTok,Manage data inventories and data flow mappings by collecting and aggregating datasets from multiple data source systems.3-5 years applicable experience.,"Hybrid remote in New York, NY","$80,000 - $100,000 a year",NaN
53,Associate - Data Analyst,PJT Partners,"3 to 5 years experience of data analysis tools such as Python, Tableau, Azure Data Products/Services and SQL.Perform testing and data quality check.","New York, NY 10017 (Midtown area)","$100,000 - $120,000 a year",NaN
54,HXGN EAM DATA ANALYST -Hybrid,Aries Solutions,Review legacy system data and provide mapping to EAM data model.A minimum of 3-4 years HxGN EAM (or other EAM/enterprise data management software) experience.,"Hybrid remote in New York, NY 11691",$55 - $60 an hour,Full-time+1
55,Data Analyst,Valera Health,"Experience working with EHR, claims, marketing data from both tabular and JSON data structures.Identify key insights to further leverage claims and other…","Brooklyn, NY",Estimated $75.5K - $95.6K a year,NaN
56,Analyst - Data and Systems,NYC Careers,Support in developing techniques and protocols for quality data collection to ensure the adequacy and accuracy of data.,"Manhattan, NY 10007 (Financial District area)","$51,550 - $73,806 a year",Full-time
57,Program Data Analyst,NYC Careers,"Prepare data for analysis, identify reporting errors, and coordinate with data engineers to review code in programming languages such as R or Python.","New York, NY 10004 (Financial District area)","$62,470 - $80,008 a year",Full-time
58,Business Data Analyst,Clear Street,Understanding of data modeling and data warehousing principles.Query the Snowflake data warehouse using SQL.Experience using BI tools to query data and create…,"Hybrid remote in New York, NY","$70,000 - $110,000 a year",NaN
59,Analyst - Private Debt Investments,StepStone Group,Use creativity to analyze data and to test hypotheses regarding attractiveness of specific sectors and investment opportunities.,"New York, NY","$85,000 - $115,000 a year",NaN
60,Biostatistician/Data Analyst,Boston Childrens Health Physicians LLP,"Create reports based on data analyses for quality of data and outcomes, assessing perinatal public health, & responding to research questions utilizing SPDS…","Valhalla, NY 10595","$70,000 - $75,000 a year",Full-time
61,"Data Analyst, TEOC",Child Mind Institute,"Proficiency in data organization, data cleaning, data mining, data preprocessing, data visualization, statistical analysis, and machine learning.","New York, NY 10022 (Midtown area)","$52,000 - $64,000 a year",Full-time
62,Senior Data Analyst - Digital Design Center (DDC),Dandy,Mentor other analysts and help them grow.Utilize your data super powers to reduce ambiguity and solve problems.Strong senses of autonomy and ownership.,"New York, NY 10019 (Hell's Kitchen area)","$150,000 - $175,000 a year",Full-time
63,"Data Analytics Lead Analyst, VP",Citi,Contributes to data analytics standards around which others will operate.6-10 years experience usisng codes for statistical modeling of large data sets.,"New York, NY","$137,610 - $206,420 a year",Full-time
64,Business Analyst,Computing Concepts Inc,"Knowledge of trades data, positions data, reference data.Analyze data sets to determine data gaps and work with cross functional teams to bridge the gap.","New York, NY",$65 an hour,Contract
65,FinTech Analyst II,StubHub,4+ years of experience in data analyst or similar positions.Reconcile transaction level data between various databases (e.g. Subledger to General Ledger) using…,"Hybrid remote in New York, NY","$100,000 - $120,000 a year",Full-time
66,Data Analyst,AppLab Systems,Acquire data from primary or secondary data sources and conduct detailed analysis to determine misaligned or erroneous data and determining the correct…,"Princeton, NJ","$132,000 - $135,000 a year",NaN
67,Paulson Policy Analyst Program,Manhattan Institute for Policy Research,"Ability to work with and analyze data.Policy Analysts will also provide support to MI fellows on research and writing projects, pursue media opportunities with…","Hybrid remote in New York, NY 10017","$70,000 - $90,000 a year",NaN
68,Revenue Cycle Analyst-Patient Access,NYU Langone,Prepare and analyze operational and revenue cycle reports to summarize performance using data from multiple sources; evaluate data and reports to identify…,"New York, NY","$63,935.04 - $82,951.06 a year",Full-time
69,Senior Data Analyst,Cityblock Health,"Possession of strong analytical/statistical skills used in evaluating and analyzing data.You are a strong SQL programmer, with experience navigating and…","Remote in New York, NY","$117,000 - $134,200 a year",NaN
70,Data Analyst,EXL Services,Must have 1 year of work experience with the following: (1) Healthcare Medical Claims or Pharmacy Claims; (2) Microsoft SQL Server (ver 2008 or later); (3) SQL…,"New York, NY","$104,125 a year",Full-time
71,Segmentation Analyst - Calvin Klein,PVH,"The ideal candidate is a seasoned marketing analyst who is passionate about using data to drive customer-centered improvements and innovation, an organized team…","Hybrid remote in New York, NY","$75,000 - $90,000 a year",Full-time
72,Big Data Analyst (Temporary),A+E Networks,"Experience in data management and data governance.A+E Networks is seeking a Freelancer to engage in CRM/audience data analytics, consumer data privacy…","New York, NY",$100 an hour,Full-time
73,Business Intelligence Analyst II,Rent the Runway,"Passion for data and its fundamental ability to create value.Paid Sabbatical after 5 years of continuous service - Unplug, recharge, and have some fun!","New York, NY 10014 (SoHo area)","$90,400 - $113,000 a year",NaN
74,Financial Analyst,Audigent,"Experience: 3-5 years of experience in data analysis, reporting, or a similar role, preferably at a media agency.For more information, visit www.audigent.com.","New York, NY","$75,000 - $85,000 a year",NaN
75,Senior Portfolio Analyst,Community Preservation Corporation,Superior analytical skills and the ability to manipulate large data sets.Collaborate with other departments and stakeholders to continually enhance data…,"Hybrid remote in New York, NY 10016","$85,000 - $105,000 a year",NaN
76,Business Analyst (Telecom and Technology Expense Management and Support) @ Remote,CEDENT,"Researching services (voice, network, and data center) provided by global suppliers.Exposure to, or working knowledge of expenses related to network, voice,…","Remote in New York, NY",$40 an hour,Contract
77,Analyst -DOHMH,NYC Careers,Analyze data and other indicators to assess individual programs within the agencies.OMB's staff of analysts and experts assembles and oversees the Mayor’s…,"Manhattan, NY 10007 (Financial District area)","$51,550 - $73,806 a year",Full-time
78,Digital Analyst,accelerate360,Ability to work with multiple disparate data sources and data types.Proficiency in quantitative data analysis.Job Responsibilities include but not limited to:,"Hybrid remote in New York, NY 10005","$85,000 - $95,000 a year",NaN
79,"2024 University Recruiting - Global Workplace & Enterprise Services Environmental, Health & Safety Data Analyst Co-op",Merck Sharp & Dohme,Apply data validation techniques to identify data quality issues and recommend solutions.Develop data models and conduct data mining to discover opportunities…,"Rahway, NJ 07065","$39,600 - $105,500 a year",Full-time
80,Data Management Reporting and Analytics Specialist,"Natural Resources Defense Council, Inc.",Perform data integrity reporting to identify and resolve root cause data quality and process issues.Develop and maintain oversight of data architecture…,"New York, NY 10011 (Flatiron area)","$100,000 - $111,000 a year",NaN
81,Data Governance Business Systems Analyst,Public Health Solutions,Liaise with data governance/data stewards and BES IT project management.BES seeks to support the department’s provisions of accurate and timely public health…,"Long Island City, NY 11101","$120,000 a year",Full-time
82,"CIR Data Governance and QA Analyst, Bureau of Immunization",NYC Careers,Manage requests for ongoing and ad-hoc data submissions and data access including subpoenas.Ensure data integrity by performing gap analyses to inform data…,"Queens, NY 11101","$92,301 - $114,687 a year",Full-time
83,Financial Strategy and Planning Analyst,DocGo,"Conduct data analysis in Tableau (BI Tool), on operational performance.The above-noted job description is not intended to describe, in detail, the multitude of…","New York, NY 10001 (Garment District area)","$70,000 - $75,000 a year",Full-time
84,Junior Business Analyst,First Notch Technology LLC,Proficiency in using analytics tools and techniques to interpret data and generate insights.Analyze data and provide insights to support decision-making and…,"Hybrid remote in Carteret, NJ 07008","$55,000 - $60,000 a year",Contract
85,Business Analyst,Plaxonic Technologies,Agile methodologies: 5 years (Required).Public Sector/Federal: 3 years (Required).The business analyst should be able to handle a demanding work environment…,"New York, NY",$45 - $50 an hour,Contract
86,Next Generation NG911 Telephony Business Analyst,NMG Technology Services,MUST HAVE H1B VISA OR BE US CITIZEN.NG911 (Next Generation 9-1-1 Project) Telephony SME..Manage and oversee the execution and delivery of all aspects of the…,"Brooklyn, NY 11201",$40 - $50 an hour,Contract
87,SENIOR BUSINESS ANALYST (CLT/REMOTE),E15 Group,"Present data products and new features to stakeholders, and receive feedback on changes.Documenting data which is currently produced by clients, including…","Remote in Melville, NY 11747","$110,000 - $120,000 a year",Full-time
88,Geospatial Analyst,ReServe,2+years of data analyst experience.Your eye for detail and analytics skills come in handy as you create algorithms for processing spatial data to report and…,"New York, NY 10035 (East Harlem area)","$58,500 a year",Full-time
89,Data Driven Marketing Analyst - Creative,DELUXE CORPORATION,"Deluxe Corporation is a $2B trusted, tech-enabled solutions provider serving nearly 5 million small businesses and over 4,600 financial institutions.","New York, NY 10011 (Flatiron area)","$89,000 a year",Full-time
90,10101 - Quantitative Data Analyst,The Fund for Public Health in New York City,"Work with internal and external partners to identify and resolve data discrepancies and issues with data reporting systems.Salary range is $60,000 to $75,000.","New York, NY","$60,000 - $75,000 a year",Full-time
91,"Data Analyst, Grants Management & Administration, Public Health Programs",Vital Strategies,"Bachelor’s degree in data science or data Analytics preferred.Experience with data management, data visualization, and statistical systems.","Hybrid remote in New York, NY 10005","$105,000 a year",Full-time
92,Data Analyst,Rutgers University,He/she will also develop and curate a data corps of publicly available data under the direction of program leadership.Plus 3 years of relevant experience.,"Hybrid remote in New Brunswick, NJ 08901",Full-time+1,Day shift
93,Financial Analyst,Noble Capital Management,"Excellent business analysis skills to identify trends and patterns in financial data.Collect and analyze data to identify trends, patterns, and opportunities…","New York, NY 10005 (Financial District area)","$79,950 - $86,978 a year",Full-time
94,"Business Analyst, Amazon",Amazon Advertising LLC,Identify root causes of data issues and develop solutions.The selected candidate will have a passion for making data driven decisions.,"New York, NY","From $59,500 a year",Full-time
95,Business Analyst (Temp),Tower Legal Solutions,The ideal candidate would be proficient using Excel reviewing and analyzing financial information and extracting data.Flexibility for additional hours/OT.,"Hybrid remote in New York, NY",$23 - $25 an hour,Temporary
96,Business Analyst,Computing Concepts Inc,"Knowledge of trades data, positions data, reference data.Analyze data sets to determine data gaps and work with cross functional teams to bridge the gap.","New York, NY",$65 an hour,Contract
97,Data Management and Programming Analyst,Research Foundation of The City University of New...,"Experience working with data in research or similar setting.Perform a variety of duties related to ensuring data integrity including documentation, audits, and…","New York, NY","$50,000 - $65,000 a year",Full-time
98,Business Analyst,Coral Graphics,Utilizes systems and data to resolve business issues in the most effective and productive manner.This position will report to and work directly with our…,"Hybrid remote in Hicksville, NY 11801","$50,000 - $60,000 a year",Full-time
99,Senior BI Analyst,coty,"Analytical data skills - including data lineage, data mapping, process mapping.Good understanding of data operations principles, data warehousing, ETL…","New York, NY 10118 (Garment District area)","$140,000 - $155,000 a year",NaN
100,Marketing Science Analyst (Hiring for Jan/Feb/Mar 2024),Analytic Partners,"Experience working independently on analytical tasks, building, and optimizing ‘big data’ data pipelines, architectures, and data sets.What you’ll be doing:","Hybrid remote in New York, NY","$68,000 - $91,000 a year",NaN
101,"Data Analyst (ETL, SQL, Data Visualization and Python or Alteryx)",Plaxonic Technologies,"Minimum of three (3) years of 3 years of data analyst or similar experience.Experience in extracting, transforming, loading and analyzing large data sets using…","New York, NY 10001 (Garment District area)",$70 - $74 an hour,Full-time
102,Data Analyst,EXL Services,Must have 1 year of work experience with the following: (1) Healthcare Medical Claims or Pharmacy Claims; (2) Microsoft SQL Server (ver 2008 or later); (3) SQL…,"New York, NY","$104,125 a year",Full-time
103,Segmentation Analyst - Calvin Klein,PVH,"The ideal candidate is a seasoned marketing analyst who is passionate about using data to drive customer-centered improvements and innovation, an organized team…","Hybrid remote in New York, NY","$75,000 - $90,000 a year",Full-time
104,Big Data Analyst (Temporary),A+E Networks,"Experience in data management and data governance.A+E Networks is seeking a Freelancer to engage in CRM/audience data analytics, consumer data privacy…","New York, NY",$100 an hour,Full-time
105,Financial Analyst,Audigent,"Experience: 3-5 years of experience in data analysis, reporting, or a similar role, preferably at a media agency.For more information, visit www.audigent.com.","New York, NY","$75,000 - $85,000 a year",NaN
106,CGWI Markets Business Analyst - Americas,Citi,"Other ad hoc administration tasks that support the activities of the business (e.g. PowerPoint presentations, excel data analysis, financial reporting).","New York, NY",NaN,NaN
107,Business Analyst,Helix Tech IT Solutions,"Develop and implement data models, databases, data collection systems, and other strategies that optimize efficiency and quality.Recruiters please don't apply.","Hybrid remote in New York, NY 10001",NaN,NaN
108,Sr. Operations Data Analyst (SAS Required) - Remote,EmblemHealth,"Maintain documentation library to promote efficient knowledge transfer of data collection strategies and data quality protocols.Hiring Range: $63,000-$110,000.","Remote in New York, NY","$63,000 - $110,000 a year",NaN
109,Data Analyst,Stony Brook Administrative Services,"Minimum of 5 years professional experience in a technical/data analyst role in a data driven environment.3+ years’ experience in data mining, large scale data…","Commack, NY",NaN,NaN
110,Associate Staff Analyst,NYC Careers,"Analyzes data and prepares clear, concise, well-documented reports in accordance with established format.Agency: OFFICE OF LABOR RELATIONS.","Manhattan, NY 10007 (Financial District area)","$70,611 - $105,138 a year",Full-time
111,Data Analyst Youth Mental Health,"Research Foundation for Mental Hygiene, Inc.",Experience cleaning raw data and an excellent attention to detail.Lead data management efforts through data quality review and thorough documentation of data…,"Long Island City, NY 11101",NaN,NaN
112,Business Analyst-Documentation Specialist,F2Onsite,"The end client is looking for a resource to review and document job functions, duties and procedures of a 3 person Application support team.","New York, NY",NaN,NaN
113,"Graphic Designer, Data Visualization",Insider Intelligence,"Proficiency in data visualization tools such as Datawrapper, Flourish or Tableau.Experience at a consultancy or digital publisher, designing and building data…","Remote in New York, NY",NaN,NaN
114,Business Analyst Reporting & Strategic Analysis,Paramount,"Monitor and govern the data, ensuring data quality and accuracy.You will be part of a team charged with enabling data-driven decision making via reporting…","New York, NY 10036","$85,000 - $100,000 a year",Full-time
115,Strategic Business Analyst,Sol de Janeiro,Must be able to work a hybrid schedule (remote & 1-3 days / week in our New York City office).Balances attention to detail with understanding of the big…,"Hybrid remote in New York, NY",NaN,NaN
116,Quality Data Analyst,RxSense,"Must be comfortable interpreting data models to build data joins & associations, data wrangling and data manipulation techniques.","Hybrid remote in Princeton, NJ",NaN,NaN
117,Financial Analyst,Noble Capital Management,"Excellent business analysis skills to identify trends and patterns in financial data.Collect and analyze data to identify trends, patterns, and opportunities…","New York, NY 10005 (Financial District area)",NaN,NaN
118,Data Management and Programming Analyst,Research Foundation of The City University of New...,"Experience working with data in research or similar setting.Perform a variety of duties related to ensuring data integrity including documentation, audits, and…","New York, NY","$50,000 - $65,000 a year",Full-time
119,BUSINESS ANALYST,STAND 8,"Accumulated 3-5 years of experience in roles such as process engineering, business consulting, or leadership within a business context.","Remote in Fairfield, NJ","$75,000 - $85,000 a year",Full-time
120,Freight Analyst,NYC Careers,"Key responsibilities include : 1) Conduct economic and planning research studies to inform policy, program, and project development; 2) Analyze and interpret…","Manhattan, NY 10004 (Financial District area)","$70,087 - $84,805 a year",Full-time
121,Junior Business Analyst,First Notch Technology LLC,Proficiency in using analytics tools and techniques to interpret data and generate insights.Analyze data and provide insights to support decision-making and…,"Hybrid remote in Carteret, NJ 07008","$55,000 - $60,000 a year",Contract
122,Bioinformatics Analyst - DLD,Columbia University,Lead data analysis efforts within collaborative research initiatives.The successful candidate will work collaboratively with clinicians and computational…,"New York, NY","$58,500 - $65,000 a year",Full-time
123,Data Analyst,Rutgers University,He/she will also develop and curate a data corps of publicly available data under the direction of program leadership.Implement these analyses once agreed up.,"Hybrid remote in New Brunswick, NJ 08901",Full-time+1,Day shift
124,Business Intelligence Analyst II,Rent the Runway,"Paid Sabbatical after 5 years of continuous service - Unplug, recharge, and have some fun!Experience working with events data and product analytics tools such…","New York, NY 10014 (SoHo area)","$90,400 - $113,000 a year",NaN
125,IQVIA Data Analyst,Taro Pharmaceutical USA Inc,Ability to analyze and interpret IQVIA data.Work with cross functional departments to collect data and monitor market opportunities.,"Hawthorne, NY","$95,500 - $119,000 a year",NaN
126,Data Analyst,"Share 4 Life Foundation, Inc.",Minimum 2 years of experience in data analysis or a related field.The Data Analyst will be responsible for researching supportive services and resources for…,"Remote in New York, NY",$15 an hour,Part-time
127,Data Science Analyst II (Dr Elahi's Lab) - Neurology,Mount Sinai,"5 years minimum in healthcare data.Implement best practices in data management to ensure the integrity of the data, the quality of data processes and deliver…","New York, NY 10029 (Yorkville area)","$87,692 - $131,538 a year",NaN
128,Senior Quality Data Analyst,NYC Health + Hospitals,Performs statistical analyses to identify data anomalies.Facilitates data exchanges between HEDIS vendor & MetroPlusHealth.Ensure accuracy of all reports.,"New York, NY",Full-time,NaN
129,"Analyst, North American Operations (Inventory)",Peloton,"Advanced in Excel, comfortable with large data sets.Capture and analyze data variances across the internal and external network - develop and lead root cause…","New York, NY 10011 (Chelsea area)","$81,800 - $106,400 a year",NaN
130,Business Analyst,Construction & Realty Services Group,"The employer provides administrative services to these B2B Companies such as Payroll, Billing, Accounts Payable, Analysis, Marketing, and IT.","New York, NY 10001 (Chelsea area)","$60,000 - $70,000 a year",Full-time
131,Training & placement in Python Developer & Data Analyst,precision technologies corp,Analyze and resolve data discrepencies before and after data uploads.Excellent attention to detail is important and ability to do extensive data analysis.,"Monmouth Junction, NJ 08852",From $36 an hour,Contract
132,Data Analyst,Audigent,"Experience: 3-5 years of experience in data analysis, reporting, or a similar role, preferably at a media agency.","New York, NY","$75,000 - $85,000 a year",NaN
133,"2024 University Recruiting - Global Workplace & Enterprise Services Environmental, Health & Safety Data Analyst Co-op",Merck Sharp & Dohme,Apply data validation techniques to identify data quality issues and recommend solutions.Develop data models and conduct data mining to discover opportunities…,"Rahway, NJ 07065","$39,600 - $105,500 a year",Full-time
